

Epoch :  0 , train loss : 0.60414, validation loss : 0.52315, Time : 300.1200633049011

Epoch :  0 , train loss : 0.59784, validation loss : 0.52191, Time : 300.1094424724579

Epoch :  0 , train loss : 0.59548, validation loss : 0.52180, Time : 298.1752746105194

Epoch :  0 , train loss : 0.59428, validation loss : 0.52174, Time : 298.5091392993927

Epoch :  0 , train loss : 0.59354, validation loss : 0.52174, Time : 298.3512179851532

Epoch :  0 , train loss : 0.59300, validation loss : 0.52172, Time : 296.884840965271

Epoch :  0 , train loss : 0.59271, validation loss : 0.52175, Time : 296.1761438846588

Epoch :  1 , train loss : 0.59081, validation loss : 0.52174, Time : 296.72507405281067

Epoch :  1 , train loss : 0.59072, validation loss : 0.52172, Time : 296.5637900829315

Epoch :  1 , train loss : 0.59072, validation loss : 0.52173, Time : 294.91782903671265

Epoch :  1 , train loss : 0.59060, validation loss : 0.52174, Time : 295.0093095302582

Epoch :  1 , train loss : 0.59062, validation loss : 0.52174, Time : 294.93161058425903

Epoch :  1 , train loss : 0.59062, validation loss : 0.52174, Time : 295.64572072029114

Epoch :  1 , train loss : 0.59061, validation loss : 0.52173, Time : 293.94967675209045

Epoch :  2 , train loss : 0.59022, validation loss : 0.52174, Time : 293.35404324531555

Epoch :  2 , train loss : 0.59052, validation loss : 0.52174, Time : 292.0795555114746

Epoch :  2 , train loss : 0.59059, validation loss : 0.52175, Time : 294.267520904541

Epoch :  2 , train loss : 0.59054, validation loss : 0.52173, Time : 292.8542699813843

Epoch :  2 , train loss : 0.59061, validation loss : 0.52174, Time : 292.06437611579895

Epoch :  2 , train loss : 0.59060, validation loss : 0.52174, Time : 291.5270571708679

Epoch :  2 , train loss : 0.59062, validation loss : 0.52175, Time : 291.27894735336304

Epoch :  3 , train loss : 0.59044, validation loss : 0.52175, Time : 291.3454785346985

Epoch :  3 , train loss : 0.59066, validation loss : 0.52174, Time : 291.7656145095825

Epoch :  3 , train loss : 0.59067, validation loss : 0.52174, Time : 290.4489336013794

Epoch :  3 , train loss : 0.59069, validation loss : 0.52173, Time : 290.83964133262634

Epoch :  3 , train loss : 0.59061, validation loss : 0.52174, Time : 290.7896308898926

Epoch :  3 , train loss : 0.59066, validation loss : 0.52173, Time : 293.9032349586487

Epoch :  3 , train loss : 0.59066, validation loss : 0.52175, Time : 292.73920607566833

Epoch :  4 , train loss : 0.59048, validation loss : 0.52174, Time : 292.2461767196655

Epoch :  4 , train loss : 0.59031, validation loss : 0.52174, Time : 291.79149174690247

Epoch :  4 , train loss : 0.59054, validation loss : 0.52174, Time : 290.982146024704

Epoch :  4 , train loss : 0.59050, validation loss : 0.52172, Time : 290.850177526474

Epoch :  4 , train loss : 0.59054, validation loss : 0.52174, Time : 291.92817091941833

Epoch :  4 , train loss : 0.59049, validation loss : 0.52173, Time : 291.18706798553467

Epoch :  4 , train loss : 0.59060, validation loss : 0.52174, Time : 290.9972403049469

Epoch :  5 , train loss : 0.59027, validation loss : 0.52174, Time : 289.95993971824646

Epoch :  5 , train loss : 0.59039, validation loss : 0.52173, Time : 291.41536808013916

Epoch :  5 , train loss : 0.59037, validation loss : 0.52174, Time : 291.54926347732544

Epoch :  5 , train loss : 0.59051, validation loss : 0.52173, Time : 293.0319230556488

Epoch :  5 , train loss : 0.59049, validation loss : 0.52174, Time : 292.0633935928345

Epoch :  5 , train loss : 0.59056, validation loss : 0.52173, Time : 292.8293228149414

Epoch :  5 , train loss : 0.59063, validation loss : 0.52175, Time : 290.6745204925537

Epoch :  6 , train loss : 0.59091, validation loss : 0.52173, Time : 289.57625794410706

Epoch :  6 , train loss : 0.59063, validation loss : 0.52173, Time : 290.4558975696564

Epoch :  6 , train loss : 0.59059, validation loss : 0.52173, Time : 292.8290855884552

Epoch :  6 , train loss : 0.59056, validation loss : 0.52173, Time : 298.08971643447876

Epoch :  6 , train loss : 0.59056, validation loss : 0.52174, Time : 289.53720688819885

Epoch :  6 , train loss : 0.59059, validation loss : 0.52174, Time : 289.17191886901855

Epoch :  6 , train loss : 0.59065, validation loss : 0.52174, Time : 289.430508852005

