

Epoch :  0 , train loss : 0.94363, validation loss : 0.93213, Time : 5.916543960571289

Epoch :  1 , train loss : 0.91956, validation loss : 0.92046, Time : 5.007093906402588

Epoch :  2 , train loss : 0.87539, validation loss : 0.90717, Time : 4.893998622894287

Epoch :  3 , train loss : 0.82314, validation loss : 0.89058, Time : 4.878124952316284

Epoch :  0 , train loss : 0.85726, validation loss : 0.75219, Time : 3.1097605228424072

Epoch :  1 , train loss : 0.65707, validation loss : 0.61327, Time : 2.185368299484253

Epoch :  2 , train loss : 0.58122, validation loss : 0.59359, Time : 2.2160425186157227

Epoch :  3 , train loss : 0.55635, validation loss : 0.56483, Time : 2.2131569385528564

Epoch :  4 , train loss : 0.53818, validation loss : 0.54635, Time : 2.1834723949432373

Epoch :  5 , train loss : 0.54179, validation loss : 0.54773, Time : 2.201533794403076

Epoch :  6 , train loss : 0.54769, validation loss : 0.53965, Time : 2.2126224040985107

Epoch :  7 , train loss : 0.55279, validation loss : 0.55722, Time : 2.2365458011627197

Epoch :  8 , train loss : 0.54360, validation loss : 0.55223, Time : 2.2066566944122314

Epoch :  9 , train loss : 0.52567, validation loss : 0.55044, Time : 2.2060391902923584

Epoch : 10 , train loss : 0.51840, validation loss : 0.54844, Time : 2.214148759841919

Epoch : 11 , train loss : 0.51518, validation loss : 0.55030, Time : 2.25018310546875

Epoch : 12 , train loss : 0.51467, validation loss : 0.55786, Time : 2.234677314758301

Epoch : 13 , train loss : 0.51627, validation loss : 0.56592, Time : 2.19757342338562

Epoch : 14 , train loss : 0.51551, validation loss : 0.55592, Time : 2.2042953968048096

Epoch : 15 , train loss : 0.51380, validation loss : 0.56311, Time : 2.266373872756958

Epoch : 16 , train loss : 0.51299, validation loss : 0.56483, Time : 2.1744844913482666

Epoch : 17 , train loss : 0.51495, validation loss : 0.57076, Time : 2.215582847595215

Epoch : 18 , train loss : 0.51364, validation loss : 0.56975, Time : 2.1843478679656982

Epoch : 19 , train loss : 0.51389, validation loss : 0.57498, Time : 2.2052736282348633

Epoch : 20 , train loss : 0.51572, validation loss : 0.57387, Time : 2.23979115486145

Epoch : 21 , train loss : 0.51302, validation loss : 0.57857, Time : 2.196830987930298

Epoch : 22 , train loss : 0.51442, validation loss : 0.57282, Time : 2.1978020668029785

Epoch : 23 , train loss : 0.51346, validation loss : 0.57947, Time : 2.2251265048980713

Epoch : 24 , train loss : 0.51527, validation loss : 0.56856, Time : 2.2398853302001953

Epoch : 25 , train loss : 0.51558, validation loss : 0.57671, Time : 2.270293712615967

Epoch : 26 , train loss : 0.51505, validation loss : 0.57429, Time : 2.2054250240325928

Epoch : 27 , train loss : 0.51524, validation loss : 0.57715, Time : 2.2342588901519775

Epoch : 28 , train loss : 0.51317, validation loss : 0.57713, Time : 2.1658692359924316

Epoch : 29 , train loss : 0.51286, validation loss : 0.57373, Time : 2.236225128173828

Epoch : 30 , train loss : 0.51613, validation loss : 0.57659, Time : 2.216309070587158

Epoch : 31 , train loss : 0.51392, validation loss : 0.57827, Time : 2.186511993408203

Epoch : 32 , train loss : 0.51343, validation loss : 0.58279, Time : 2.2197394371032715

Epoch : 33 , train loss : 0.51338, validation loss : 0.58322, Time : 2.209277391433716

Epoch : 34 , train loss : 0.51394, validation loss : 0.57651, Time : 2.194894313812256

Epoch : 35 , train loss : 0.51509, validation loss : 0.56842, Time : 2.2082369327545166

Epoch : 36 , train loss : 0.51274, validation loss : 0.58668, Time : 2.244389772415161

Epoch : 37 , train loss : 0.51321, validation loss : 0.58428, Time : 2.2091586589813232

Epoch : 38 , train loss : 0.51393, validation loss : 0.57583, Time : 2.2330174446105957

Epoch : 39 , train loss : 0.51292, validation loss : 0.56649, Time : 2.220672369003296

Epoch : 40 , train loss : 0.51460, validation loss : 0.57924, Time : 2.2526891231536865

Epoch : 41 , train loss : 0.51345, validation loss : 0.57211, Time : 2.2164976596832275

Epoch : 42 , train loss : 0.51501, validation loss : 0.57139, Time : 2.1955807209014893

Epoch : 43 , train loss : 0.51408, validation loss : 0.57961, Time : 2.255741596221924

Epoch : 44 , train loss : 0.51417, validation loss : 0.56408, Time : 2.251350164413452

Epoch : 45 , train loss : 0.51596, validation loss : 0.57129, Time : 2.2114763259887695

Epoch : 46 , train loss : 0.51546, validation loss : 0.57297, Time : 2.1931934356689453

Epoch : 47 , train loss : 0.51432, validation loss : 0.57039, Time : 2.19381046295166

Epoch : 48 , train loss : 0.51507, validation loss : 0.57319, Time : 2.2322418689727783

Epoch : 49 , train loss : 0.51376, validation loss : 0.57435, Time : 2.2525863647460938

Epoch : 50 , train loss : 0.51324, validation loss : 0.57245, Time : 2.242494583129883

Epoch : 51 , train loss : 0.51568, validation loss : 0.57702, Time : 2.1867563724517822

Epoch : 52 , train loss : 0.51830, validation loss : 0.57222, Time : 2.2582085132598877

Epoch : 53 , train loss : 0.51533, validation loss : 0.56800, Time : 2.385092258453369

Epoch :  0 , train loss : 0.85469, validation loss : 0.74198, Time : 3.1604912281036377

Epoch :  1 , train loss : 0.61814, validation loss : 0.59943, Time : 2.199889898300171

Epoch :  2 , train loss : 0.59046, validation loss : 0.60467, Time : 2.22985577583313

Epoch :  3 , train loss : 0.55864, validation loss : 0.56114, Time : 2.21874737739563

Epoch :  4 , train loss : 0.54051, validation loss : 0.55053, Time : 2.2098069190979004

Epoch :  5 , train loss : 0.52906, validation loss : 0.54405, Time : 2.2073323726654053

Epoch :  6 , train loss : 0.52345, validation loss : 0.54128, Time : 2.19867205619812

Epoch :  7 , train loss : 0.52091, validation loss : 0.54423, Time : 2.239812135696411

Epoch :  8 , train loss : 0.52331, validation loss : 0.54259, Time : 2.224735736846924

Epoch :  9 , train loss : 0.52669, validation loss : 0.55617, Time : 2.219822406768799

Epoch : 10 , train loss : 0.53477, validation loss : 0.55582, Time : 2.261406660079956

Epoch : 11 , train loss : 0.53314, validation loss : 0.56485, Time : 2.246612071990967

Epoch : 12 , train loss : 0.51924, validation loss : 0.55195, Time : 2.275275707244873

Epoch : 13 , train loss : 0.51617, validation loss : 0.56165, Time : 2.2900054454803467

Epoch : 14 , train loss : 0.51523, validation loss : 0.56419, Time : 2.254281997680664

Epoch : 15 , train loss : 0.51410, validation loss : 0.55946, Time : 2.2380406856536865

Epoch : 16 , train loss : 0.51458, validation loss : 0.56870, Time : 2.231218099594116

Epoch : 17 , train loss : 0.51437, validation loss : 0.56361, Time : 2.218266010284424

Epoch : 18 , train loss : 0.51309, validation loss : 0.56821, Time : 2.262739896774292

Epoch : 19 , train loss : 0.51249, validation loss : 0.56965, Time : 2.2394509315490723

Epoch : 20 , train loss : 0.51421, validation loss : 0.56508, Time : 2.2114832401275635

Epoch : 21 , train loss : 0.51446, validation loss : 0.57791, Time : 2.227216958999634

Epoch : 22 , train loss : 0.51448, validation loss : 0.57632, Time : 2.219337224960327

Epoch : 23 , train loss : 0.51784, validation loss : 0.57611, Time : 2.2679896354675293

Epoch : 24 , train loss : 0.51531, validation loss : 0.58244, Time : 2.2429633140563965

Epoch : 25 , train loss : 0.51401, validation loss : 0.57147, Time : 2.2366552352905273

Epoch : 26 , train loss : 0.51509, validation loss : 0.58129, Time : 2.2225470542907715

Epoch : 27 , train loss : 0.51323, validation loss : 0.57514, Time : 2.243213653564453

Epoch : 28 , train loss : 0.51512, validation loss : 0.58063, Time : 2.282829999923706

Epoch : 29 , train loss : 0.51264, validation loss : 0.58050, Time : 2.2669994831085205

Epoch : 30 , train loss : 0.51582, validation loss : 0.58223, Time : 2.2521824836730957

Epoch : 31 , train loss : 0.51246, validation loss : 0.57327, Time : 2.238328218460083

Epoch : 32 , train loss : 0.51276, validation loss : 0.58413, Time : 2.2418503761291504

Epoch : 33 , train loss : 0.51194, validation loss : 0.57369, Time : 2.228670120239258

Epoch : 34 , train loss : 0.51239, validation loss : 0.58887, Time : 2.204371452331543

Epoch : 35 , train loss : 0.51493, validation loss : 0.58114, Time : 2.2634189128875732

Epoch : 36 , train loss : 0.51456, validation loss : 0.58229, Time : 2.245497465133667

Epoch : 37 , train loss : 0.51371, validation loss : 0.58069, Time : 2.2408416271209717

Epoch : 38 , train loss : 0.51425, validation loss : 0.56238, Time : 2.2544217109680176

Epoch : 39 , train loss : 0.51492, validation loss : 0.57094, Time : 2.2202541828155518

Epoch : 40 , train loss : 0.51420, validation loss : 0.57070, Time : 2.247701406478882

Epoch : 41 , train loss : 0.51579, validation loss : 0.57398, Time : 2.1845054626464844

Epoch : 42 , train loss : 0.51532, validation loss : 0.58197, Time : 2.2772655487060547

Epoch : 43 , train loss : 0.51423, validation loss : 0.56319, Time : 2.267652988433838

Epoch : 44 , train loss : 0.51374, validation loss : 0.57064, Time : 2.214944839477539

Epoch : 45 , train loss : 0.51349, validation loss : 0.55979, Time : 2.2357187271118164

Epoch : 46 , train loss : 0.51308, validation loss : 0.56875, Time : 2.2606167793273926

Epoch : 47 , train loss : 0.51208, validation loss : 0.56026, Time : 2.234330892562866

Epoch : 48 , train loss : 0.51476, validation loss : 0.56505, Time : 2.2319693565368652

Epoch : 49 , train loss : 0.51497, validation loss : 0.57038, Time : 2.2228918075561523

Epoch : 50 , train loss : 0.51471, validation loss : 0.56803, Time : 2.2346949577331543

Epoch : 51 , train loss : 0.51306, validation loss : 0.57690, Time : 2.265023708343506

Epoch : 52 , train loss : 0.51456, validation loss : 0.57267, Time : 2.296065092086792

Epoch : 53 , train loss : 0.51796, validation loss : 0.56133, Time : 2.2609825134277344

Epoch : 54 , train loss : 0.51468, validation loss : 0.57349, Time : 2.3613998889923096

Epoch : 55 , train loss : 0.51377, validation loss : 0.56070, Time : 2.2620606422424316

Epoch : 56 , train loss : 0.51467, validation loss : 0.57038, Time : 2.242478847503662

Epoch : 57 , train loss : 0.51423, validation loss : 0.57256, Time : 2.274641275405884

Epoch : 58 , train loss : 0.51314, validation loss : 0.57257, Time : 2.2226920127868652

Epoch : 59 , train loss : 0.51455, validation loss : 0.58313, Time : 2.3167130947113037

Epoch : 60 , train loss : 0.51589, validation loss : 0.57769, Time : 2.2349798679351807

Epoch : 61 , train loss : 0.51641, validation loss : 0.57421, Time : 2.2566752433776855

Epoch : 62 , train loss : 0.51673, validation loss : 0.57637, Time : 2.2597103118896484

Epoch : 63 , train loss : 0.51511, validation loss : 0.56917, Time : 2.2751739025115967

Epoch : 64 , train loss : 0.51553, validation loss : 0.56346, Time : 2.2559709548950195

