# 2초 audio => soundclip

Epoch :  0 , train loss : 0.56992, validation loss : 0.49034, Time : 306.09907150268555

Epoch :  0 , train loss : 0.56724, validation loss : 0.49068, Time : 306.03495693206787

Epoch :  0 , train loss : 0.56604, validation loss : 0.48848, Time : 302.6903963088989

Epoch :  0 , train loss : 0.56534, validation loss : 0.48813, Time : 302.74337553977966

Epoch :  0 , train loss : 0.56481, validation loss : 0.48803, Time : 301.33649039268494

Epoch :  0 , train loss : 0.56446, validation loss : 0.48681, Time : 302.5425808429718

Epoch :  0 , train loss : 0.56421, validation loss : 0.49155, Time : 300.09178161621094

Epoch :  0 , train loss : 0.56401, validation loss : 0.48995, Time : 300.6832036972046

Epoch :  0 , train loss : 0.56382, validation loss : 0.48520, Time : 302.04179883003235

Epoch :  1 , train loss : 0.56241, validation loss : 0.49219, Time : 300.17129731178284

Epoch :  1 , train loss : 0.56236, validation loss : 0.48758, Time : 301.4463653564453

Epoch :  1 , train loss : 0.56224, validation loss : 0.48905, Time : 299.00350642204285

Epoch :  1 , train loss : 0.56216, validation loss : 0.48761, Time : 300.55180978775024

Epoch :  1 , train loss : 0.56210, validation loss : 0.48789, Time : 301.846453666687

Epoch :  1 , train loss : 0.56211, validation loss : 0.48728, Time : 299.92876386642456

Epoch :  1 , train loss : 0.56206, validation loss : 0.49315, Time : 299.97851490974426

Epoch :  1 , train loss : 0.56206, validation loss : 0.48679, Time : 297.67321968078613

Epoch :  1 , train loss : 0.56202, validation loss : 0.48902, Time : 298.30425786972046

Epoch :  2 , train loss : 0.56197, validation loss : 0.48770, Time : 299.4803340435028

Epoch :  2 , train loss : 0.56192, validation loss : 0.49094, Time : 299.23064732551575

Epoch :  2 , train loss : 0.56191, validation loss : 0.48984, Time : 299.1369950771332

Epoch :  2 , train loss : 0.56187, validation loss : 0.48540, Time : 299.3044857978821

Epoch :  2 , train loss : 0.56186, validation loss : 0.48899, Time : 298.36271691322327

Epoch :  2 , train loss : 0.56184, validation loss : 0.48721, Time : 298.67577028274536

Epoch :  2 , train loss : 0.56179, validation loss : 0.48718, Time : 298.451797246933

Epoch :  2 , train loss : 0.56175, validation loss : 0.48899, Time : 298.88753962516785

Epoch :  2 , train loss : 0.56171, validation loss : 0.48851, Time : 299.02044558525085

Epoch :  3 , train loss : 0.56126, validation loss : 0.48925, Time : 299.25312423706055

Epoch :  3 , train loss : 0.56154, validation loss : 0.48574, Time : 298.10881662368774

Epoch :  3 , train loss : 0.56160, validation loss : 0.48786, Time : 298.3503842353821

Epoch :  3 , train loss : 0.56154, validation loss : 0.48432, Time : 300.67839789390564

Epoch :  3 , train loss : 0.56152, validation loss : 0.48545, Time : 298.02170419692993

Epoch :  3 , train loss : 0.56151, validation loss : 0.48869, Time : 298.9095983505249

Epoch :  3 , train loss : 0.56150, validation loss : 0.48982, Time : 298.45078802108765

Epoch :  3 , train loss : 0.56148, validation loss : 0.48870, Time : 297.7703604698181

Epoch :  3 , train loss : 0.56148, validation loss : 0.48628, Time : 300.20812344551086

Epoch :  4 , train loss : 0.56127, validation loss : 0.48786, Time : 298.3882646560669

Epoch :  4 , train loss : 0.56130, validation loss : 0.48813, Time : 295.6316177845001

Epoch :  4 , train loss : 0.56124, validation loss : 0.48729, Time : 297.8489694595337

Epoch :  4 , train loss : 0.56125, validation loss : 0.48524, Time : 297.6153326034546

Epoch :  4 , train loss : 0.56129, validation loss : 0.48891, Time : 297.94595074653625

Epoch :  4 , train loss : 0.56132, validation loss : 0.48715, Time : 296.3601965904236

Epoch :  4 , train loss : 0.56134, validation loss : 0.48390, Time : 299.3602170944214

Epoch :  4 , train loss : 0.56134, validation loss : 0.48788, Time : 297.62081384658813

Epoch :  4 , train loss : 0.56135, validation loss : 0.49036, Time : 296.89875864982605

Epoch :  5 , train loss : 0.56117, validation loss : 0.48564, Time : 298.36190485954285

Epoch :  5 , train loss : 0.56119, validation loss : 0.48590, Time : 299.4291410446167

Epoch :  5 , train loss : 0.56118, validation loss : 0.48754, Time : 296.3825352191925

Epoch :  5 , train loss : 0.56124, validation loss : 0.48582, Time : 297.33264803886414

Epoch :  5 , train loss : 0.56125, validation loss : 0.48407, Time : 297.9348602294922

Epoch :  5 , train loss : 0.56123, validation loss : 0.48649, Time : 297.08468770980835

Epoch :  5 , train loss : 0.56122, validation loss : 0.48930, Time : 298.0847008228302

Epoch :  5 , train loss : 0.56123, validation loss : 0.48681, Time : 297.3470902442932

Epoch :  5 , train loss : 0.56122, validation loss : 0.48604, Time : 297.62029910087585

Epoch :  6 , train loss : 0.56110, validation loss : 0.48614, Time : 297.05332922935486

Epoch :  6 , train loss : 0.56117, validation loss : 0.48562, Time : 296.57181453704834

Epoch :  6 , train loss : 0.56113, validation loss : 0.48799, Time : 297.9855852127075

Epoch :  6 , train loss : 0.56109, validation loss : 0.48746, Time : 297.3279037475586

Epoch :  6 , train loss : 0.56110, validation loss : 0.48470, Time : 297.61400866508484

Epoch :  6 , train loss : 0.56109, validation loss : 0.48769, Time : 300.7463803291321

Epoch :  6 , train loss : 0.56110, validation loss : 0.48688, Time : 300.9692442417145

Epoch :  6 , train loss : 0.56111, validation loss : 0.48677, Time : 298.41504526138306

Epoch :  6 , train loss : 0.56115, validation loss : 0.48747, Time : 296.3012902736664

Epoch :  7 , train loss : 0.56090, validation loss : 0.48756, Time : 296.75426602363586

Epoch :  7 , train loss : 0.56090, validation loss : 0.48796, Time : 296.10992670059204

Epoch :  7 , train loss : 0.56106, validation loss : 0.48579, Time : 295.4777731895447

Epoch :  7 , train loss : 0.56101, validation loss : 0.48773, Time : 297.6371943950653

Epoch :  7 , train loss : 0.56105, validation loss : 0.48796, Time : 298.41683411598206

Epoch :  7 , train loss : 0.56111, validation loss : 0.48768, Time : 296.5961308479309

Epoch :  7 , train loss : 0.56111, validation loss : 0.48662, Time : 295.7558157444

Epoch :  7 , train loss : 0.56110, validation loss : 0.48533, Time : 295.42255997657776

Epoch :  7 , train loss : 0.56109, validation loss : 0.48771, Time : 297.1102542877197

Epoch :  8 , train loss : 0.56108, validation loss : 0.48671, Time : 296.22616600990295

Epoch :  8 , train loss : 0.56107, validation loss : 0.48682, Time : 297.241580247879

Epoch :  8 , train loss : 0.56110, validation loss : 0.48888, Time : 298.0629470348358

Epoch :  8 , train loss : 0.56107, validation loss : 0.48582, Time : 299.72593331336975

Epoch :  8 , train loss : 0.56107, validation loss : 0.48661, Time : 296.2292559146881

Epoch :  8 , train loss : 0.56105, validation loss : 0.48665, Time : 297.6705467700958

Epoch :  8 , train loss : 0.56105, validation loss : 0.48605, Time : 296.7534062862396

Epoch :  8 , train loss : 0.56104, validation loss : 0.48809, Time : 301.42605996131897

Epoch :  8 , train loss : 0.56100, validation loss : 0.48637, Time : 296.28708839416504

Epoch :  9 , train loss : 0.56123, validation loss : 0.48798, Time : 296.79265666007996

Epoch :  9 , train loss : 0.56115, validation loss : 0.48585, Time : 296.5441164970398

Epoch :  9 , train loss : 0.56100, validation loss : 0.48370, Time : 300.54443883895874

Epoch :  9 , train loss : 0.56098, validation loss : 0.48630, Time : 295.78612184524536

Epoch :  9 , train loss : 0.56096, validation loss : 0.48580, Time : 295.0047700405121

Epoch :  9 , train loss : 0.56094, validation loss : 0.48408, Time : 294.35751509666443

Epoch :  9 , train loss : 0.56094, validation loss : 0.48730, Time : 296.1380727291107

Epoch :  9 , train loss : 0.56092, validation loss : 0.48964, Time : 299.45798778533936

Epoch :  9 , train loss : 0.56092, validation loss : 0.48779, Time : 297.1806831359863

Epoch : 10 , train loss : 0.56077, validation loss : 0.48625, Time : 296.4443995952606

Epoch : 10 , train loss : 0.56086, validation loss : 0.48682, Time : 298.0021023750305

Epoch : 10 , train loss : 0.56084, validation loss : 0.48688, Time : 297.4670820236206

Epoch : 10 , train loss : 0.56084, validation loss : 0.48606, Time : 301.67650413513184

Epoch : 10 , train loss : 0.56092, validation loss : 0.48632, Time : 297.81945753097534

Epoch : 10 , train loss : 0.56090, validation loss : 0.48652, Time : 296.17611742019653

Epoch : 10 , train loss : 0.56088, validation loss : 0.48765, Time : 298.5887498855591

Epoch : 10 , train loss : 0.56087, validation loss : 0.48885, Time : 296.1183114051819

Epoch : 10 , train loss : 0.56087, validation loss : 0.48666, Time : 296.5248165130615

Epoch : 11 , train loss : 0.56107, validation loss : 0.48626, Time : 296.9061939716339

